accidentDay;district;streetName;accidentType;mainAccidentCause;totalParticipantsAmount;latitude;longitude;Count_Без ушкоджень;Count_Загинув;Count_Легко травмований;Count_Тяжко травмований;Is_Intersection;Year;Month;DayOfWeek;Hour;settlement_grouped;Simple_Type;Simple_Cause
понеділок;Личаківський;Личаківська;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;49.839885;24.049609;1;0;0;1;0;2018;4;0;23;Львів;Наїзд на пішохода;Порушення маневрування
п'ятниця;Сихівський;Литвиненка С.;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;49.813657;24.041959;1;0;1;0;0;2018;6;4;18;Львів;Наїзд на пішохода;Порушення маневрування
п'ятниця;Франківський;Кульпарківська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перевищення безпечної швидкості;2;49.812276;23.984506;1;0;1;0;0;2018;4;4;19;Львів;Наїзд на пішохода;Перевищення швидкості
четвер;Франківський;Перфецького Л.;наїзд на пішохода - пішохід рухався у попутному напрямку;перевищення безпечної швидкості , порушення правил маневрування;2;49.813242;23.991115;1;0;1;0;0;2018;5;3;22;Львів;Наїзд на пішохода;Порушення маневрування
п'ятниця;Залізничний;Кульпарківська;зіткнення бокове;порушення правил маневрування;3;49.804799;23.981159;1;0;2;0;0;2018;4;4;10;Львів;Зіткнення автомобілів;Порушення маневрування
понеділок;Личаківський;Богданівська;зіткнення лобове;перевищення безпечної швидкості;8;49.846652;24.084939;6;0;2;0;0;2018;5;0;10;Львів;Зіткнення автомобілів;Перевищення швидкості
п'ятниця;Шевченківський;Хімічна;наїзд на пішохода - на регульованому пішохідному переході;порушення правил маневрування;2;49.853807;24.023247;1;0;1;0;0;2018;4;4;14;Львів;Наїзд на пішохода;Порушення маневрування
четвер;Личаківський;Аральська;наїзд на пішохода - пішохід рухався у зустрічному напрямку;перевищення безпечної швидкості;2;49.826394;24.052328;1;0;1;0;0;2018;5;3;20;Львів;Наїзд на пішохода;Перевищення швидкості
вівторок;Залізничний;Кульпарківська;зіткнення бокове;порушення правил маневрування , недодержання дистанції;3;49.821414;23.988626;2;0;1;0;1;2018;5;1;22;Львів;Зіткнення автомобілів;Порушення маневрування
вівторок;Сихівський;Червоної Калини, просп.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;порушення правил маневрування;2;49.785826;24.059324;0;0;2;0;0;2018;5;1;17;Львів;Наїзд на пішохода;Порушення маневрування
середа;Шевченківський;Волинська;зіткнення бокове;перевищення безпечної швидкості;3;49.857277;24.042265;2;0;1;0;0;2018;5;2;16;Львів;Зіткнення автомобілів;Перевищення швидкості
вівторок;Залізничний;Любінська;наїзд на велосипедиста - велосипедист рухався у попутному напрямку;порушення правил проїзду пішохідних переходів;2;49.824318;23.97772;1;0;1;0;0;2018;5;1;21;Львів;Наїзд на велосипедиста;Порушення проїзду переходів
середа;Шевченківський;Хмельницького Б.;наїзд на пішохода - пішохід рухався у зустрічному напрямку;порушення правил маневрування;2;49.863972;24.052366;1;0;1;0;0;2018;4;2;13;Львів;Наїзд на пішохода;Порушення маневрування
вівторок;Галицький;Стрийська;наїзд на інші види перешкод;перевищення безпечної швидкості;1;49.826723;24.028081;0;0;0;1;0;2018;5;1;11;Львів;Наїзд на перешкоду;Перевищення швидкості
